1000,497218.97,55599.42,172817.02,19614.71,978468.42,333944.95,FALSE,490957.81,NRI,Active,833954,FALSE,TRUE,Personal Loan,Rejected,277.79
1001,226111.87,18028.85,294472.41,25777.35,11234.02,637281.65,TRUE,131043.38,Current,Closed,711170.57,FALSE,TRUE,No Loan,Verified,31368.78
1002,222899.52,64893.51,62987.75,172523.4,933570.49,668182.89,TRUE,209273.84,Savings,Closed,30601.05,TRUE,FALSE,No Loan,Rejected,15434.94
1003,421338.82,89411.86,172736.65,172692.19,701248.75,755069.98,FALSE,221266.64,Current,Closed,677135.45,FALSE,TRUE,Personal Loan,Pending,33289
1004,132999.3,190527.73,271038.15,24901.41,552684.96,353887.21,FALSE,117320.94,Savings,Closed,11881.03,TRUE,FALSE,Personal Loan,Pending,16386.41
1005,42333.66,88877.45,21474.23,114841.09,830129.79,753684.85,TRUE,376435.15,Joint,Active,74438.38,FALSE,TRUE,Personal Loan,Pending,9593.09
1006,428371.22,22951.09,154332.75,63226.59,38307.27,99385.63,TRUE,199590.04,Savings,Dormant,943397.38,TRUE,TRUE,Personal Loan,Pending,49088.75
1007,298629.77,33643.29,71770.1,102761.2,145749.9,82516.36,TRUE,155693.45,Savings,Active,726777.14,TRUE,FALSE,Car Loan,Rejected,9490.81
1008,137476.82,73782.9,287889.77,63623.51,603522.36,225483.57,FALSE,387930.41,NRI,Closed,449783.46,FALSE,FALSE,Car Loan,Rejected,20047.31
1009,177951.69,40916.63,202968.61,106910.22,537234.47,668729.54,TRUE,413235.43,Joint,Dormant,35174.19,TRUE,FALSE,No Loan,Verified,22977.46
1010,218568.69,16810.61,89150.14,162360.27,554096.95,60536.25,TRUE,249818.68,Savings,Active,866816.07,TRUE,FALSE,Personal Loan,Pending,37873.97
1011,343391.6,39175.67,297053.11,42691.96,855170.4,253617.09,TRUE,420298.28,Joint,Active,534740.78,FALSE,TRUE,Home Loan,Verified,38191.1
1012,239409.22,25570.7,73300.1,58487.57,669523.23,736819.18,TRUE,492259.57,NRI,Dormant,997199.09,TRUE,FALSE,Car Loan,Verified,6307.73
1013,203951.58,44526.17,105992.74,92527.42,360328.49,450504.55,TRUE,217283.96,Savings,Closed,598607.73,FALSE,FALSE,Home Loan,Rejected,19164.7
1014,392428.59,199308.59,205794.03,245062.13,611401.33,34993.8,FALSE,89840.97,Savings,Dormant,20181.21,FALSE,FALSE,No Loan,Rejected,43443.06
1015,45205.78,91854.67,174576.64,160875.29,699555.54,230895.95,TRUE,377580.58,NRI,Dormant,232933.38,TRUE,FALSE,Car Loan,Verified,27628.34
1016,329743.08,133426.9,249098.66,229296.41,201255.43,519443.66,TRUE,380480.09,NRI,Closed,395921.82,TRUE,FALSE,Home Loan,Pending,4094.65
1017,229972.43,37229.97,204098.39,214768.17,36194.61,20322.78,TRUE,361186.31,Joint,Closed,501107.68,FALSE,TRUE,No Loan,Pending,33726.82
1018,174078.22,170611.88,177672.44,141910.05,508765.31,393135.09,TRUE,123269.27,Joint,Dormant,913245.86,FALSE,FALSE,Personal Loan,Pending,14712.05
1019,464512.09,57046.7,107300.51,72611.67,678286.7,795483.77,FALSE,296165.37,Joint,Closed,931709.65,TRUE,FALSE,No Loan,Pending,49103.98
1020,391185.38,196585.65,95789.73,68087.04,870017.83,270215.37,TRUE,165690.75,Current,Dormant,899118.14,FALSE,TRUE,Home Loan,Pending,18518.36
1021,117436.79,168158.03,38408.17,144421.54,586253.51,187582.96,TRUE,447323.77,Savings,Closed,314926.63,FALSE,FALSE,No Loan,Rejected,16888.12
1022,329644.85,190419.93,126854.8,141482.5,591281.04,70668.08,TRUE,87072.96,Savings,Closed,22980.63,FALSE,FALSE,Personal Loan,Verified,20272.92
1023,412920.38,135318.9,238857.81,142113.92,511430.52,25778.75,FALSE,319117.84,Current,Closed,257587.98,TRUE,FALSE,Personal Loan,Pending,5888.46
1024,494776.39,133327.9,92506.92,94877.82,925398.34,649683.21,TRUE,410580.05,Current,Dormant,342474.75,FALSE,TRUE,Car Loan,Rejected,47189.96
1025,352228.25,169013.94,265526.16,178377.16,860664.84,224038.38,FALSE,50773.69,Current,Active,182074.78,TRUE,FALSE,Home Loan,Rejected,2518.7
1026,348438.56,144495.64,242393.44,105003.71,513057.79,29522.42,FALSE,427171.95,NRI,Active,973290.26,FALSE,FALSE,Home Loan,Pending,38837.8
1027,310513.08,123206.8,299312.84,91058.07,679946.21,461817.99,FALSE,256846.37,NRI,Dormant,876772.58,TRUE,FALSE,Personal Loan,Verified,37383.5
